Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
PCDHGA10| PCDHGA11|PCDHGA12| PCDHGA2|PCDHGA3| PCDHGA4|PCDHGA5| PCDHGA6|PCDHGA7| PCDHGA8|PCDHGA9| PCDHGB1|PCDHGB2| PCDHGB3|PCDHGB4| PCDHGB5|PCDHGB6| PCDHGB7|PCDHGC3| PCDHGC4|PCDHGC5				18	protocadherin gamma subfamily A, 10|protocadherin gamma subfamily A, 11|protocadherin gamma subfamily A, 12|protocadherin gamma subfamily A, 2|protocadherin gamma subfamily A, 3|protocadherin gamma subfamily A, 4|protoca
PCF11	chr11	82545784	82574483	18	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	0005654	nucleoplasm
PCGF3	chr4	689572	754427	18	polycomb group ring finger 3	0008270	zinc ion binding
PCGF5	chr10	92970348	93034001	18	polycomb group ring finger 5	0046872	metal ion binding
PCM1	chr8	17824645	17931737	18	pericentriolar material 1	0005829	cytosol
PCMTD1	chr8	52892692	52974288	18	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	0006464	protein modification process
PCMTD2	chr20	62357491	62378023	18	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
PCNP	chr3	102775731	102795971	18	PEST proteolytic signal containing nuclear protein	0007049	cell cycle
PCSK7	chr11	116580997	116608021	18	proprotein convertase subtilisin/kexin type 7	0008233	peptidase activity
PCTK1	chrX	46962471	46974338	18	PCTAIRE protein kinase 1
PCYOX1	chr2	70338734	70361821	18	prenylcysteine oxidase 1	0006821	chloride transport
PCYT1A	chr3	197449649	197498981	18	phosphate cytidylyltransferase 1, choline, alpha	0016779	nucleotidyltransferase activity
PDCD2	chr6	170728374	170735673	18	programmed cell death 2	0005634	nucleus
PDCD4	chr10	112621585	112649754	18	programmed cell death 4 (neoplastic transformation inhibitor)	0005634	nucleus
PDCD6IP	chr3	33814560	33886198	18	programmed cell death 6 interacting protein	0005515	protein binding
PDHA1	chrX	19271931	19289723	18	pyruvate dehydrogenase (lipoamide) alpha 1	0055114	oxidation reduction
PDHX	chr11	34894252	34974251	18	pyruvate dehydrogenase complex, component X	0006090	pyruvate metabolic process
PDIA3	chr15	41825881	41852096	18	protein disulfide isomerase family A, member 3	0005515	protein binding
PDIA4	chr7	148331086	148356715	18	protein disulfide isomerase family A, member 4	0005783	endoplasmic reticulum
PDIA6	chr2	10840967	10870411	18	protein disulfide isomerase family A, member 6	0003756	protein disulfide isomerase activity
PDLIM1	chr10	96987319	97040771	18	PDZ and LIM domain 1	0001666	response to hypoxia
PDLIM5	chr4	95592060	95808400	18	PDZ and LIM domain 5	0014069	postsynaptic density
PDPK1	chr16	2527970	2593190	18	3-phosphoinositide dependent protein kinase-1	0000166	nucleotide binding
PDPR	chr16	68705029	68752685	18	pyruvate dehydrogenase phosphatase regulatory subunit	0004047	aminomethyltransferase activity
PDS5A	chr4	39500877	39655971	18	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)	0005515	protein binding
PDS5B	chr13	32058591	32250157	18	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	0003677	DNA binding
PDXDC1	chr16	14976333	15039053	18	pyridoxal-dependent decarboxylase domain containing 1	0016829	lyase activity
PDXK	chr21	43963405	44006616	18	pyridoxal (pyridoxine, vitamin B6) kinase	0042803	protein homodimerization activity
PDZD11	chrX	69422935	69426523	18	PDZ domain containing 11	0008022	protein C-terminus binding
PEA15	chr1	158441748	158451786	18	phosphoprotein enriched in astrocytes 15	0005515	protein binding
PEBP1	chr12	117058252	117067773	18	phosphatidylethanolamine binding protein 1	0000166	nucleotide binding
PEF1	chr1	31868057	31883064	18	penta-EF-hand domain containing 1	0005737	cytoplasm
PEPD	chr19	38569702	38704641	18	peptidase D	0004181	metallocarboxypeptidase activity
PERLD1	chr17	35080900	35097836	18	per1-like domain containing 1
PERP	chr6	138451334	138470353	18	PERP, TP53 apoptosis effector	0005634	nucleus
PES1	chr22	29302611	29317894	18	pescadillo homolog 1, containing BRCT domain (zebrafish)	0005515	protein binding
PEX14	chr1	10457589	10613405	18	peroxisomal biogenesis factor 14	0032582	negative regulation of gene-specific transcription
PEX19	chr1	158513222	158521565	18	peroxisomal biogenesis factor 19	0005634	nucleus
PFDN5	chr12	51975501	51979501	18	prefoldin subunit 5	0016272	prefoldin complex
PFKL	chr21	44544357	44571684	18	phosphofructokinase, liver	0005829	cytosol
PFKM	chr12	46799294	46826154	18	phosphofructokinase, muscle	0006006	glucose metabolic process
PFN1	chr17	4789691	4792570	18	profilin 1	0003779	actin binding
PGAM4				18	phosphoglycerate mutase family member 4
PGD	chr1	10381671	10402788	18	phosphogluconate dehydrogenase	0006098	pentose-phosphate shunt
PGK1	chrX	77246321	77268980	18	phosphoglycerate kinase 1	0016310	phosphorylation
PGM1	chr1	63831534	63898505	18	phosphoglucomutase 1	0016853	isomerase activity
PGM3	chr6	83935346	83959654	18	phosphoglucomutase 3	0004610	phosphoacetylglucosamine mutase activity
PGRMC2	chr4	129410746	129428398	18	progesterone receptor membrane component 2	0016021	integral to membrane
PHACTR2	chr6	143971009	144194015	18	phosphatase and actin regulator 2	0005515	protein binding
PHACTR4	chr1	28568679	28699468	18	phosphatase and actin regulator 4	0004864	phosphoprotein phosphatase inhibitor activity
PHB	chr17	44836418	44847241	18	prohibitin	0005515	protein binding
PHC2	chr1	33561810	33588086	18	polyhomeotic homolog 2 (Drosophila)	0003677	DNA binding
PHF17	chr4	129950228	130005237	18	PHD finger protein 17	0000123	histone acetyltransferase complex
PHF19	chr9	122657751	122679427	18	PHD finger protein 19	0045449	regulation of transcription
PHF2	chr9	95378729	95481690	18	PHD finger protein 2	0005634	nucleus
PHF20L1	chr8	133856785	133930234	18	PHD finger protein 20-like 1	0008270	zinc ion binding
PHF21A	chr11	45907445	46099561	18	PHD finger protein 21A	0000122	negative regulation of transcription from RNA polymerase II promoter
PHF23	chr17	7079070	7083549	18	PHD finger protein 23	0008270	zinc ion binding
PHF3	chr6	64414389	64482364	18	PHD finger protein 3	0005575	cellular_component
PHF8	chrX	53979837	54087332	18	PHD finger protein 8	0035064	methylated histone residue binding
PHGDH	chr1	120055941	120088372	18	phosphoglycerate dehydrogenase	0009448	gamma-aminobutyric acid metabolic process
PI4KA	chr22	19391978	19418955	18	phosphatidylinositol 4-kinase, catalytic, alpha	0000166	nucleotide binding
PI4KB	chr1	149531036	149565348	18	phosphatidylinositol 4-kinase, catalytic, beta	0000166	nucleotide binding
PICALM	chr11	85346132	85457756	18	phosphatidylinositol binding clathrin assembly protein	0030276	clathrin binding
PIGH	chr14	67125775	67136770	18	phosphatidylinositol glycan anchor biosynthesis, class H	0005730	nucleolus
PIGT	chr20	43478137	43488298	18	phosphatidylinositol glycan anchor biosynthesis, class T	0005515	protein binding
PIK3CD	chr1	9634376	9711759	18	phosphoinositide-3-kinase, catalytic, delta polypeptide	0004428	inositol or phosphatidylinositol kinase activity
PIK3R1	chr5	67558217	67633405	18	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	0035014	phosphoinositide 3-kinase regulator activity
PILRB	chr7	99771672	99803388	18	paired immunoglobin-like type 2 receptor beta	0005515	protein binding
PIP4K2B	chr17	34175469	34209684	18	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	0007166	cell surface receptor linked signaling pathway
PIP5K1A	chr1	149437644	149488631	18	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	0008654	phospholipid biosynthetic process
PITPNB	chr22	26577656	26645255	18	phosphatidylinositol transfer protein, beta	0005737	cytoplasm
PITRM1	chr10	3169919	3205003	18	pitrilysin metallopeptidase 1	0008233	peptidase activity
PJA2	chr5	108698308	108773574	18	praja ring finger 2	0008270	zinc ion binding
PKM2	chr15	70278423	70310738	18	pyruvate kinase, muscle	0012501	programmed cell death
PKMYT1	chr16	2962792	2970475	18	protein kinase, membrane associated tyrosine/threonine 1	0000166	nucleotide binding
PKN1	chr19	14405165	14443679	18	protein kinase N1	0005515	protein binding
PKP4	chr2	159021721	159246186	18	plakophilin 4	0007155	cell adhesion
PLAGL1	chr6	144303129	144427428	18	pleiomorphic adenoma gene-like 1	0046872	metal ion binding
PLAGL2	chr20	30243967	30259207	18	pleiomorphic adenoma gene-like 2	0003677	DNA binding
PLCG1	chr20	39199574	39237771	18	phospholipase C, gamma 1	0045766	positive regulation of angiogenesis
PLD3	chr19	45546171	45576230	18	phospholipase D family, member 3	0016042	lipid catabolic process
PLDN	chr15	43666708	43689201	18	pallidin homolog (mouse)	0042802	identical protein binding
PLEC1	chr8	145061308	145121531	18	plectin 1, intermediate filament binding protein 500kDa
PLEKHA1	chr10	124124209	124181856	18	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	0030165	PDZ domain binding
PLEKHB2	chr2	131578889	131623895	18	pleckstrin homology domain containing, family B (evectins) member 2	0016020	membrane
PLEKHM2	chr1	15883413	15933851	18	pleckstrin homology domain containing, family M (with RUN domain) member 2	0005737	cytoplasm
PLK1	chr16	23597701	23609189	18	polo-like kinase 1 (Drosophila)	0007346	regulation of mitotic cell cycle
PLOD1	chr1	11917332	11958181	18	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	0008475	procollagen-lysine 5-dioxygenase activity
PLOD3	chr7	100635977	100647731	18	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	0008475	procollagen-lysine 5-dioxygenase activity
PLP2	chrX	48915216	48918382	18	proteolipid protein 2 (colonic epithelium-enriched)	0005624	membrane fraction
PLRG1	chr4	155677111	155690973	18	pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)	0008380	RNA splicing
PLSCR1	chr3	147715656	147745318	18	phospholipid scramblase 1	0005515	protein binding
PLXNA1	chr3	128190191	128238920	18	plexin A1	0007275	multicellular organismal development
PLXNB2	chr22	49055534	49075336	18	plexin B2	0007165	signal transduction
PLXND1	chr3	130756745	130808272	18	plexin D1	0007275	multicellular organismal development
PMF1	chr1	154449407	154476457	18	polyamine-modulated factor 1	0005515	protein binding
PMM1	chr22	40302835	40315817	18	phosphomannomutase 1	0043687	post-translational protein modification
PMM2	chr16	8799170	8850695	18	phosphomannomutase 2	0009298	GDP-mannose biosynthetic process
PMPCA	chr9	138424936	138438034	18	peptidase (mitochondrial processing) alpha	0005743	mitochondrial inner membrane
PMPCB	chr7	102725108	102742369	18	peptidase (mitochondrial processing) beta	0005759	mitochondrial matrix
PNN	chr14	38714137	38722173	18	pinin, desmosome associated protein	0006397	mRNA processing
PNPO	chr17	43373887	43381673	18	pyridoxamine 5'-phosphate oxidase	0008615	pyridoxine biosynthetic process
PNRC1	chr6	89847147	89851598	18	proline-rich nuclear receptor coactivator 1	0005634	nucleus
PNRC2	chr1	24158887	24162536	18	proline-rich nuclear receptor coactivator 2	0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
POFUT1	chr20	30259356	30290128	18	protein O-fucosyltransferase 1	0016757	transferase activity, transferring glycosyl groups
POFUT2	chr21	45508270	45532239	18	protein O-fucosyltransferase 2	0005975	carbohydrate metabolic process
POLA2	chr11	64786007	64821664	18	polymerase (DNA directed), alpha 2 (70kD subunit)	0000278	mitotic cell cycle
POLD2	chr7	44120810	44129672	18	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	0000722	telomere maintenance via recombination
POLDIP2	chr17	23697785	23708730	18	polymerase (DNA-directed), delta interacting protein 2	0005739	mitochondrion
POLDIP3	chr22	41309670	41340906	18	polymerase (DNA-directed), delta interacting protein 3	0043231	intracellular membrane-bounded organelle
POLE3	chr9	115209336	115212850	18	polymerase (DNA directed), epsilon 3 (p17 subunit)	0005515	protein binding
POLG	chr15	87660539	87679030	18	polymerase (DNA directed), gamma	0003887	DNA-directed DNA polymerase activity
POLK	chr5	74843412	74931402	18	polymerase (DNA directed) kappa	0003684	damaged DNA binding
POLL	chr10	103328628	103337963	18	polymerase (DNA directed), lambda	0003677	DNA binding
POLR1B	chr2	113015962	113051198	18	polymerase (RNA) I polypeptide B, 128kDa	0005634	nucleus
POLR1D	chr13	27094002	27139548	18	polymerase (RNA) I polypeptide D, 16kDa	0006360	transcription from RNA polymerase I promoter
POLR2A	chr17	7328573	7358655	18	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	0006366	transcription from RNA polymerase II promoter
POLR2B	chr4	57539865	57592091	18	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	0016740	transferase activity
POLR2C	chr16	56054051	56063422	18	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	0005654	nucleoplasm
POLR2E	chr19	1037577	1046391	18	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	0005654	nucleoplasm
POLR2F	chr22	36679619	36695265	18	polymerase (RNA) II (DNA directed) polypeptide F	0003899	DNA-directed RNA polymerase activity
POLR3A	chr10	79405909	79459265	18	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	0016740	transferase activity
POLR3E	chr16	22216241	22252844	18	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	0006385	RNA elongation from RNA polymerase III promoter
POLS	chr5	6767717	6810161	18	polymerase (DNA directed) sigma
POM121	chr7	71987871	72056774	18	POM121 membrane glycoprotein (rat)	0005783	endoplasmic reticulum
POM121C	chr7	74884000	74953504	18	POM121 membrane glycoprotein C	0015031	protein transport
POMGNT1	chr1	46426939	46436708	18	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	0005792	microsome
POMP	chr13	28131240	28151093	18	proteasome maturation protein	NOT
POR	chr7	75382355	75454109	18	P450 (cytochrome) oxidoreductase	0016020	membrane
PPA1	chr10	71632591	71663196	18	pyrophosphatase (inorganic) 1	0016787	hydrolase activity
PPAP2B	chr1	56733020	56817845	18	phosphatidic acid phosphatase type 2B	0016020	membrane
PPHLN1	chr12	41006213	41128689	18	periphilin 1	0005737	cytoplasm
PPIA	chr7	44802765	44809241	18	peptidylprolyl isomerase A (cyclophilin A)	0006457	protein folding
PPIE	chr1	39977116	39991965	18	peptidylprolyl isomerase E (cyclophilin E)	0006397	mRNA processing
PPIF	chr10	80777225	80785095	18	peptidylprolyl isomerase F	0003755	peptidyl-prolyl cis-trans isomerase activity
PPIG	chr2	170149095	170202500	18	peptidylprolyl isomerase G (cyclophilin G)	0005654	nucleoplasm
PPIL1	chr6	36930583	36950778	18	peptidylprolyl isomerase (cyclophilin)-like 1	0005681	spliceosomal complex
PPM1A	chr14	59782222	59835558	18	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	0005515	protein binding
PPM1F	chr22	20603792	20637217	18	protein phosphatase 1F (PP2C domain containing)	0006915	apoptosis
PPM1G	chr2	27457564	27485881	18	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	0005634	nucleus
PPME1	chr11	73560015	73643396	18	protein phosphatase methylesterase 1	0016787	hydrolase activity
PPP1CA	chr11	66922227	66925952	18	protein phosphatase 1, catalytic subunit, alpha isoform	0070688	MLL5-L complex
PPP1CB	chr2	28828117	28879310	18	protein phosphatase 1, catalytic subunit, beta isoform	0072357
PPP1CC	chr12	109641997	109665140	18	protein phosphatase 1, catalytic subunit, gamma isoform	0005515	protein binding
PPP1R10	chr6	30676160	30692999	18	protein phosphatase 1, regulatory (inhibitor) subunit 10	0005515	protein binding
PPP1R12A	chr12	78691473	78853366	18	protein phosphatase 1, regulatory (inhibitor) subunit 12A	0004871	signal transducer activity
PPP1R15A	chr19	54067460	54071131	18	protein phosphatase 1, regulatory (inhibitor) subunit 15A	0005515	protein binding
PPP1R8	chr1	28029879	28050770	18	protein phosphatase 1, regulatory (inhibitor) subunit 8	0005515	protein binding
PPP2CA	chr5	133560046	133589849	18	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	0006672	ceramide metabolic process
PPP2CB	chr8	30762667	30789894	18	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	0046677	response to antibiotic
PPP2R1A	chr19	57385002	57421483	18	protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform	0006672	ceramide metabolic process
PPP2R2A	chr8	26204950	26284563	18	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform	0005515	protein binding
PPP2R4	chr9	130913064	130951044	18	protein phosphatase 2A activator, regulatory subunit 4	0005102	receptor binding
PPP2R5A	chr1	210525501	210601828	18	protein phosphatase 2, regulatory subunit B', alpha isoform	0000159	protein phosphatase type 2A complex
PPP2R5C	chr14	101345924	101463830	18	protein phosphatase 2, regulatory subunit B', gamma isoform	0005515	protein binding
PPP2R5D	chr6	43060307	43088058	18	protein phosphatase 2, regulatory subunit B', delta isoform	0000159	protein phosphatase type 2A complex
PPP3CA	chr4	102163609	102487651	18	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	0005509	calcium ion binding
PPP3CB	chr10	74866568	74925788	18	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform
PPP3CC	chr8	22354540	22454582	18	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	0008629	induction of apoptosis by intracellular signals
PPP4C	chr16	29994884	30004196	18	protein phosphatase 4 (formerly X), catalytic subunit	0005634	nucleus
PPP4R1	chr18	9536791	9604600	18	protein phosphatase 4, regulatory subunit 1	0006468	protein amino acid phosphorylation
PPP5C	chr19	51542133	51585945	18	protein phosphatase 5, catalytic subunit	0051291	protein heterooligomerization
PPP6C	chr9	126948672	126992039	18	protein phosphatase 6, catalytic subunit	0016787	hydrolase activity
PPPDE1	chr1	242882974	242938957	18	PPPDE peptidase domain containing 1
PPT1	chr1	40310968	40335729	18	palmitoyl-protein thioesterase 1	0007399	nervous system development
PQBP1	chrX	48640138	48645364	18	polyglutamine binding protein 1	0003713	transcription coactivator activity
